--- '기수표' 시트 데이터 (값) ---\n['연령(x)', '생존자수(lx)', '사망률(qx)', '사망자수(dx)', 'Dx', 'Nx', 'Cx', 'Mx', '키(Key)']
['30', '100000', '0.0006', '59.99999999999999', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['31', '99940', '0.0006', '59.96399999999999', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['32', '99880.036', '0.00065', '64.92202339999999', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['33', '99815.1139766', '0.00065', '64.87982408479', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['34', '99750.23415251522', '0.0007', '69.82516390676065', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['35', '99680.40898860845', '0.0007', '69.77628629202592', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['36', '99610.63270231643', '0.0007', '69.72744289162151', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['37', '99540.9052594248', '0.00075', '74.6556789445686', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['38', '99466.24958048023', '0.00075', '74.59968718536018', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['39', '99391.64989329487', '0.00075', '74.54373741997115', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['40', '99317.1061558749', '0.00075', '74.48782961690618', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['41', '99242.618326258', '0.0008', '79.3940946610064', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['42', '99163.22423159699', '0.0008', '79.3305793852776', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['43', '99083.89365221171', '0.00085', '84.22130960437995', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['44', '98999.67234260733', '0.00085', '84.14972149121623', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['45', '98915.5226211161', '0.0009', '89.0239703590045', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['46', '98826.4986507571', '0.00095', '93.88517371821925', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['47', '98732.61347703889', '0.00095', '93.79598280318694', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['48', '98638.8174942357', '0.001', '98.6388174942357', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['49', '98540.17867674146', '0.001', '98.54017867674146', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['50', '98441.63849806471', '0.001', '98.44163849806472', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['51', '98343.19685956665', '0.001', '98.34319685956666', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['52', '98244.85366270709', '0.001', '98.24485366270709', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['53', '98146.60880904438', '0.001', '98.14660880904438', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['54', '98048.46220023534', '0.001', '98.04846220023535', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['55', '97950.4137380351', '0.001', '97.95041373803511', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['56', '97852.46332429707', '0.001', '97.85246332429708', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['57', '97754.61086097278', '0.001', '97.75461086097279', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['58', '97656.85625011181', '0.001', '97.65685625011182', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['59', '97559.19939386171', '0.001', '97.55919939386172', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['60', '97461.64019446785', '0.001', '97.46164019446785', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['61', '97364.17855427339', '0.001', '97.3641785542734', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['62', '97266.81437571911', '0.001', '97.26681437571912', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['63', '97169.5475613434', '0.001', '97.16954756134339', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['64', '97072.37801378206', '0.001', '97.07237801378206', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['65', '96975.30563576828', '0.001', '96.97530563576828', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['66', '96878.3303301325', '0.001', '96.87833033013251', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['67', '96781.45199980238', '0.001', '96.78145199980237', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['68', '96684.67054780257', '0.001', '96.68467054780257', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['69', '96587.98587725476', '0.001', '96.58798587725477', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['70', '96491.3978913775', '0.001', '96.4913978913775', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['71', '96394.90649348612', '0.001', '96.39490649348613', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['72', '96298.51158699264', '0.001', '96.29851158699265', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['73', '96202.21307540564', '0.001', '96.20221307540564', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['74', '96106.01086233024', '0.001', '96.10601086233024', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['75', '96009.9048514679', '0.001', '96.00990485146791', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['76', '95913.89494661643', '0.001', '95.91389494661644', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['77', '95817.98105166982', '0.001', '95.81798105166982', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['78', '95722.16307061815', '0.001', '95.72216307061815', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['79', '95626.44090754753', '0.001', '95.62644090754753', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['80', '95530.81446663997', '0.001', '95.53081446663998', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['81', '95435.28365217334', '0.001', '95.43528365217334', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['82', '95339.84836852117', '0.001', '95.33984836852117', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['83', '95244.50852015265', '0.001', '95.24450852015265', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['84', '95149.2640116325', '0.001', '95.14926401163251', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['85', '95054.11474762087', '0.001', '95.05411474762087', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['86', '94959.06063287325', '0.001', '94.95906063287326', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['87', '94864.10157224038', '0.001', '94.86410157224039', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['88', '94769.23747066814', '0.001', '94.76923747066814', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['89', '94674.46823319748', '0.001', '94.67446823319747', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['90', '94579.79376496428', '0.001', '94.5797937649643', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['91', '94485.21397119932', '0.001', '94.48521397119933', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['92', '94390.72875722812', '0.001', '94.39072875722812', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['93', '94296.3380284709', '0.001', '94.2963380284709', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['94', '94202.04169044243', '0.001', '94.20204169044244', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['95', '94107.839648752', '0.001', '94.10783964875199', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['96', '94013.73180910324', '0.001', '94.01373180910323', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['97', '93919.71807729414', '0.001', '93.91971807729414', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['98', '93825.79835921685', '0.001', '93.82579835921685', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['99', '93731.97256085763', '0.001', '93.73197256085763', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['100', '93638.24058829677', '0.001', '93.63824058829677', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['101', '93544.60234770848', '0.001', '93.54460234770849', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['102', '93451.05774536077', '0.001', '93.45105774536077', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['103', '93357.60668761541', '0.001', '93.35760668761542', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['104', '93264.2490809278', '0.001', '93.2642490809278', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['105', '93170.98483184687', '0.001', '93.17098483184688', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
