--- '기수표' 시트 데이터 (값) ---
['연령(x)', '생존자수(lx)', '사망률(qx)', '사망자수(dx)', 'Dx', 'Nx', 'Cx', 'Mx']
['30', '100000', '0.0006', '59.99999999999999', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['31', '99940', '0.0006', '59.96399999999999', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['32', '99880.036', '0.00065', '64.92202339999999', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['33', '99815.1139766', '0.00065', '64.87982408479', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['34', '99750.23415251522', '0.0007', '69.82516390676065', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['35', '99680.40898860845', '0.0007', '69.77628629202592', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['36', '99610.63270231643', '0.0007', '69.72744289162151', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['37', '99540.9052594248', '0.00075', '74.6556789445686', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['38', '99466.24958048023', '0.00075', '74.59968718536018', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['39', '99391.64989329487', '0.00075', '74.54373741997115', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['40', '99317.1061558749', '0.00075', '74.48782961690618', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['41', '99242.618326258', '0.0008', '79.3940946610064', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['42', '99163.22423159699', '0.0008', '79.3305793852776', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['43', '99083.89365221171', '0.00085', '84.22130960437995', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['44', '98999.67234260733', '0.00085', '84.14972149121623', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['45', '98915.5226211161', '0.0009', '89.0239703590045', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['46', '98826.4986507571', '0.00095', '93.88517371821925', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['47', '98732.61347703889', '0.00095', '93.79598280318694', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['48', '98638.8174942357', '0.001', '98.6388174942357', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['49', '98540.17867674146', '0.001', '98.54017867674146', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['50', '98441.63849806471', '0.001', '98.44163849806472', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!']
['51', '98343.19685956665', '#N/A', '#N/A', '#VALUE!', '#VALUE!', '#N/A', '#N/A']
['52', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['53', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['54', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['55', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['56', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['57', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['58', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['59', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['60', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['61', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['62', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['63', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['64', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['65', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['66', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['67', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['68', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['69', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['70', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['71', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['72', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['73', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['74', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['75', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['76', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['77', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['78', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['79', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['80', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['81', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['82', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['83', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['84', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['85', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['86', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['87', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['88', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['89', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['90', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['91', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['92', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['93', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['94', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['95', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['96', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['97', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['98', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['99', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['100', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['101', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['102', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['103', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['104', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['105', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['106', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['107', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['108', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['109', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['110', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['111', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['112', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['113', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['114', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['115', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['116', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['117', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['118', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['119', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
['120', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A', '#N/A']
---------------------------
