--- '기수표' 시트 데이터 (값) ---
['연령(x)', '생존자수(lx)', '사망률(qx)', '사망자수(dx)', 'Dx', 'Nx', 'Cx', 'Mx']
['30', '100000', '0.0006', '59.99999999999999', '51298.00784251782', '1969997.5272223388', '30.10152049438699', '1738.778186848736']
['31', '99940', '0.0006', '59.96399999999999', '50139.099303483934', '1918699.519379821', '29.421476363902553', '1708.6766663543492']
['32', '99880.036', '0.00065', '64.92202339999999', '49006.37246347369', '1868560.420076337', '31.15319520905418', '1679.2551899904465']
['33', '99815.1139766', '0.00065', '64.87982408479', '47896.83943410507', '1819554.0476128634', '30.44786858891765', '1648.1019947813925']
['34', '99750.23415251522', '0.0007', '69.82516390676065', '46812.42688359209', '1771657.2081787584', '32.04762720637111', '1617.6541261924747']
['35', '99680.40898860845', '0.0007', '69.77628629202592', '45750.276953323795', '1724844.7812951666', '31.320482999830464', '1585.6064989861038']
['36', '99610.63270231643', '0.0007', '69.72744289162151', '44712.226659615124', '1679094.5043418424', '30.609837321985907', '1554.2860159862735']
['37', '99540.9052594248', '0.00075', '74.6556789445686', '43697.729194086445', '1634382.2776822273', '32.052124103241894', '1523.6761786642878']
['38', '99466.24958048023', '0.00075', '74.59968718536018', '42704.11334688595', '1590684.5484881413', '31.323310523388233', '1491.6240545610458']
['39', '99391.64989329487', '0.00075', '74.54373741997115', '41733.09072066092', '1547980.4351412554', '30.611068988259845', '1460.3007440376578']
['40', '99317.1061558749', '0.00075', '74.48782961690618', '40784.14758202487', '1506247.3444205944', '29.915022676301863', '1429.689675049398']
['41', '99242.618326258', '0.0008', '79.3940946610064', '39856.78187905952', '1465463.1968385691', '31.18379022322505', '1399.7746523730962']
['42', '99163.22423159699', '0.0008', '79.3305793852776', '38948.55398880808', '1425606.4149595096', '30.473196274862072', '1368.590862149871']
['43', '99083.89365221171', '0.00085', '84.22130960437995', '38061.02214730273', '1386657.8609707018', '31.6399695112052', '1338.1176658750092']
['44', '98999.67234260733', '0.00085', '84.14972149121623', '37191.85357308315', '1348596.838823399', '30.917433288137584', '1306.4776963638042']
['45', '98915.5226211161', '0.0009', '89.0239703590045', '36342.53349393255', '1311404.9852503159', '31.988538038669233', '1275.5602630756666']
['46', '98826.4986507571', '0.00095', '93.88517371821925', '35510.83150492715', '1275062.451756383', '32.992948586484886', '1243.5717250369971']
['47', '98732.61347703889', '0.00095', '93.79598280318694', '34696.42661613445', '1239551.6202514558', '32.23628878760658', '1210.5787764505121']
['48', '98638.8174942357', '0.001', '98.6388174942357', '33900.69927711406', '1204855.1936353212', '33.15471811942695', '1178.3424876629053']
['49', '98540.17867674146', '0.001', '98.54017867674146', '33121.563401307525', '1170954.494358207', '32.392727042843546', '1145.1877695434787']
['50', '98441.63849806471', '0.001', '98.44163849806472', '32360.3343158007', '1137832.9309568994', '31.64824871960949', '1112.7950425006354']
['51', '98343.19685956665', '0.001', '98.34319685956666', '31616.60047088988', '1105472.5966410984', '30.920880656127025', '1081.1467937810257']
