--- '위험률' 시트 데이터 ---
['재해장해율', '', '', '', '보험료 납입면제 관련 위험률 (재해/질병 50% 이상 장해)', '', '', '', '', '', '태아보장계수', '', '', '### 3. 예정해지율 테이블', '', '']
['연령(x)', '남자 위험률(qx)', '여자 위험률(qx)', '', '연령(x)', '남자 재해 50%이상(qx)', '여자 재해 50%이상(qx)', '남자 질병 50%이상(qx)', '여자 질병 50%이상(qx)', '', '항목', '값', '', '구분', '경과기간(t)', '해지율']
['0.0', '0.00105', '0.00095', '', '0.0', '3.8e-05', '3e-05', '0.0001', '8e-05', '', '태아보장계수', '0.475', '', '납입중', '0.0', '0.0925']
['1.0', '0.00045', '0.0004', '', '1.0', '2.5e-05', '2e-05', '5e-05', '4e-05', '', '', '', '', '납입중', '1.0', '0.1355']
['2.0', '0.00035', '0.0003', '', '2.0', '2e-05', '1.5e-05', '3e-05', '2.5e-05', '', '', '', '', '납입중', '2.0', '0.0735']
['3.0', '0.0003', '0.00025', '', '3.0', '1.8e-05', '1.3e-05', '2e-05', '1.8e-05', '', '', '', '', '납입중', '3.0', '0.0555']
['4.0', '0.00025', '0.0002', '', '4.0', '1.5e-05', '1.2e-05', '1.5e-05', '1.5e-05', '', '', '', '', '납입중', '4.0', '0.06']
['5.0', '0.00025', '0.0002', '', '5.0', '1.5e-05', '1.2e-05', '1.5e-05', '1.5e-05', '', '', '', '', '납입중', '5.0', '0.0325']
['6.0', '0.00025', '0.0002', '', '6.0', '1.5e-05', '1.2e-05', '1.5e-05', '1.5e-05', '', '', '', '', '납입중', '6.0', '0.0295']
['7.0', '0.0002', '0.00015', '', '7.0', '1.4e-05', '1.1e-05', '1.5e-05', '1.5e-05', '', '', '', '', '납입중', '7.0', '0.026']
['8.0', '0.0002', '0.00015', '', '8.0', '1.4e-05', '1.1e-05', '1.6e-05', '1.6e-05', '', '', '', '', '납입중', '8.0', '0.023']
['9.0', '0.0002', '0.00015', '', '9.0', '1.4e-05', '1.1e-05', '1.7e-05', '1.7e-05', '', '', '', '', '납입중', '9.0', '0.0195']
['10.0', '0.0002', '0.00015', '', '10.0', '1.4e-05', '1.1e-05', '1.8e-05', '1.8e-05', '', '', '', '', '납입중', '10.0', '0.016']
['11.0', '0.0002', '0.00015', '', '11.0', '1.4e-05', '1.1e-05', '2e-05', '2e-05', '', '', '', '', '납입중', '11.0', '0.0135']
['12.0', '0.0002', '0.00015', '', '12.0', '1.4e-05', '1.1e-05', '2.2e-05', '2.2e-05', '', '', '', '', '납입후', 'm≤t<m+1', '0.215']
['13.0', '0.00025', '0.00015', '', '13.0', '1.8e-05', '1.2e-05', '2.5e-05', '2.5e-05', '', '', '', '', '납입후', 'm+1≤t<m+2', '0.032']
['14.0', '0.0003', '0.0002', '', '14.0', '2.2e-05', '1.4e-05', '2.8e-05', '2.8e-05', '', '', '', '', '납입후', 'm+2≤t<m+5', '0.01']
['15.0', '0.00035', '0.0002', '', '15.0', '2.6e-05', '1.5e-05', '3.2e-05', '3.2e-05', '', '', '', '', '납입후', 'm+5≤t<m+6', '0.008']
['16.0', '0.0004', '0.0002', '', '16.0', '3e-05', '1.6e-05', '3.8e-05', '3.8e-05', '', '', '', '', '납입후', 't≥m+6', '0.01']
['17.0', '0.00045', '0.00025', '', '17.0', '3.4e-05', '1.8e-05', '4.5e-05', '4.5e-05', '', '', '', '', '', '', '']
['18.0', '0.00045', '0.00025', '', '18.0', '3.4e-05', '1.8e-05', '5.2e-05', '5.2e-05', '', '', '', '', '', '', '']
['19.0', '0.00045', '0.00025', '', '19.0', '3.4e-05', '1.8e-05', '6e-05', '6e-05', '', '', '', '', '', '', '']
['20.0', '0.00045', '0.00025', '', '20.0', '3.4e-05', '1.8e-05', '6.8e-05', '6.8e-05', '', '', '', '', '', '', '']
['21.0', '0.0005', '0.00025', '', '21.0', '3.8e-05', '1.9e-05', '7.8e-05', '7.8e-05', '', '', '', '', '', '', '']
['22.0', '0.0005', '0.00025', '', '22.0', '3.8e-05', '1.9e-05', '8.8e-05', '8.8e-05', '', '', '', '', '', '', '']
